,Text,id_tweet,Tweet_Date,Follower_count,cleaned_text,prediction
17,"@DailyMailUK So many mutations mean this variant was born in a long-duration infected host, thus who survived long enough. As it does not come from US life-assisted ICU but South Africa full of immunology-suppressed people, I guess this variant at last is harmless #COVID19 #Omicron",1466928423943741447,2021-12-04 00:32:45,17,mani mutat mean variant born long durat infect host thu surviv long enough come us life assist icu south africa full immunolog suppress peopl guess variant last harmless covid omicron,0
18,"@SkyNews So many mutations mean this variant was born in a long-duration infected host, thus who survived long enough. As it does not come from US life-assisted ICU but South Africa full of immunology-suppressed people, I guess this variant at last is harmless #COVID19 #Omicron",1466928327386664964,2021-12-04 00:32:22,17,mani mutat mean variant born long durat infect host thu surviv long enough come us life assist icu south africa full immunolog suppress peopl guess variant last harmless covid omicron,0
19,In Australia/6h: 1.#auspol 2.#SpotifyWrapped 3.#COVID19 4.#australia 5.#Omicron,1466928295933624323,2021-12-04 00:32:14,12046,australia h auspol spotifywrap covid australia omicron,0
20,"Got my first taste of racism during the #COVID19 pandemic in #Toronto for being Asian.

I’ve been pretty lucky where I haven’t experienced it. I get it, we’re all fed up with COVID. But don’t project hate onto Asians. We’re in this together.",1466928198067884039,2021-12-04 00:31:51,2079,got first tast racism covid pandem toronto asian pretti lucki experienc get fed covid project hate onto asian togeth,0
21,"@CarolineNhs It’s awful… #covid19 restrictions and #shielding, then my surgeries and needing to self-isolate… meant I couldn’t risk taking that flight to Nice, France. Every decision I have taken feels like a risk assessment. It’s just so sh*t 😢 and my mum is devastated 💔",1466928164920246272,2021-12-04 00:31:43,3381,aw covid restrict shield surgeri need self isol meant risk take flight nice franc everi decis taken feel like risk assess sh mum devast,0
22,"@ageOfIdiocy I really think we should get lockdowns for anyone including #unvaccinated. Issue is critical care resources. No #vaccine, No resources. I do not see how that wouldn't abate the risk for all of us right now #savehospitals #triageunvaxxed #skpoli #COVID19 #cdnpoli",1466928145211211782,2021-12-04 00:31:38,481,realli think get lockdown anyon includ unvaccin issu critic care resourc vaccin resourc see abat risk us right savehospit triageunvax skpoli covid cdnpoli,0
23,"The most annoying and painful issue for me is that our policy makers will still take nothing out of everything that has happened since the onset of the #COVID19 pandemic. 

How long are we going to be like this❓

#COVID19 
#Omicron
Part 3 
#MoneyHeist",1466928075669745665,2021-12-04 00:31:22,349,annoy pain issu polici maker still take noth everyth happen sinc onset covid pandem long go like covid omicronpart moneyheist,0
24,"Work is getting more stressful with so many coworkers deliberately not wearing masks and my supervisors not caring. 
#COVID19",1466928051636350989,2021-12-04 00:31:16,1,work get stress mani cowork deliber wear mask supervisor care covid,0
25,"@EmmanuelMacron So many mutations mean this variant was born in a long-duration infected host, thus who survived long enough. As it does not come from US life-assisted ICU but South Africa full of immunology-suppressed people, I guess this variant at last is harmless #COVID19 #Omicron",1466927857096175624,2021-12-04 00:30:29,17,mani mutat mean variant born long durat infect host thu surviv long enough come us life assist icu south africa full immunolog suppress peopl guess variant last harmless covid omicron,0
26,"They just want to rewrite the entire script and turn the table as if it all didn't unfold right before our eyes.

#COVID19 
#Omicron 
#Africa",1466927672534183945,2021-12-04 00:29:45,349,want rewrit entir script turn tabl unfold right eye covid omicron africa,0
27,"@SkyNews Why has no one addressed the #England Vs #SouthAfrica match that took place in London on the 20th Nov,  where over 81,000 attended?! With No #covid19 restrictions in place. Crowded, no masks, no social distancing, no rules. It’s plausible #Omicron started there. No?",1466927607727988737,2021-12-04 00:29:30,41,one address england vs southafrica match took place london th nov attend covid restrict place crowd mask social distanc rule plausibl omicron start,0
28,"John Burton on FB
Here is the latest data on US versus #China #COVID19 deaths to date. Note that the US has one quarter the population, and the vertical axis of this graph is 55x greater for the US.",1466927399573016582,2021-12-04 00:28:40,1162,john burton fbhere latest data us versu china covid death date note us one quarter popul vertic axi graph x greater us,0
29,Ultimately mRNA and AZ vaccines strongly protect against severe #COVID19 disease. Please keep this in mind when commenting about upcoming lab results. 2/2,1466927334783598598,2021-12-04 00:28:25,2934,ultim mrna az vaccin strongli protect sever covid diseas pleas keep mind comment upcom lab result,0
30,"It’s about time SA started exporting #COVID19… Up till now, they’ve just been taking taking taking all the time. Damn mendicant states!",1466927296816635904,2021-12-04 00:28:16,193,time sa start export covid till take take take time damn mendic state,0
31,"My sister-in-law told me my niece and all her schoolmates made masks at school and we're disappointed when they didn't have to wear them (two girls cried). So the teacher let them wear them and they were delighted.

Doesn't seem like abuse or torture to me.
#COVID19",1466927252394885125,2021-12-04 00:28:05,106,sister law told niec schoolmat made mask school disappoint wear two girl cri teacher let wear delight seem like abus tortur covid,0
32,"The speed at which countries outside Africa put ban on African countries due to #OmicronVariant of #COVID19 is typical case of how worthless we are to ourselves and to them, when we compare how long it took African countries to do same at the onset of the #coronavirus pandemic.",1466927249295298560,2021-12-04 00:28:05,349,speed countri outsid africa put ban african countri due omicronvari covid typic case worthless compar long took african countri onset coronaviru pandem,0
33,"I participated and contributed during technical working group meetings like Yellow Fever, Lassa Fever and the #COVID19 EOC meetings.

The daily Public Health Intelligence meetings taught me from both public health and a personal perspective, how to separate signals from noise.",1466926800282468357,2021-12-04 00:26:18,1065,particip contribut technic work group meet like yellow fever lassa fever covid eoc meet daili public health intellig meet taught public health person perspect separ signal nois,0
34,@Erato_Calliope @lovergirl912 Yes we are still in the Trump tenure and what has changed? #Covid19 protocols which have put a hole in the Trump defenses for safety at schools.,1466926322945560580,2021-12-04 00:24:24,41,ye still trump tenur chang covid protocol put hole trump defens safeti school,0
35,I’m not here to ask for birthday wishes but I’d like some congrats for making it through another week as a #schoolnurse during #covid19 because man this stuff is no fun.,1466926238451347463,2021-12-04 00:24:04,229,ask birthday wish like congrat make anoth week schoolnurs covid man stuff fun,0
36,"@POTUS So many mutations mean this variant was born in a long-duration infected host, thus who survived long enough. As it does not come from US life-assisted ICU but South Africa full of immunology-suppressed people, I guess this variant at last is harmless #COVID19 #Omicron",1466926143139946496,2021-12-04 00:23:41,17,mani mutat mean variant born long durat infect host thu surviv long enough come us life assist icu south africa full immunolog suppress peopl guess variant last harmless covid omicron,0
37,#EnoughIsEnough let ppl live #COVID19 #VaccineMandate wont work #passaportcovid not the solution will be living like this for ever? Cause Id rather not,1466925981046878208,2021-12-04 00:23:02,10,enoughisenough let ppl live covid vaccinemand wont work passaportcovid solut live like ever caus id rather,0
38,"#COVID19 is over. 

Fuck Anthony Fauci 🖕🖕🖕
Fuck Joe Biden 🖕🖕🖕
Fuck Kamala Harris 🖕🖕🖕
And Fuck #COVID19 🖕🖕🖕",1466925826952290304,2021-12-04 00:22:25,418,covid fuck anthoni fauci fuck joe biden fuck kamala harri fuck covid,0
39,"@ProfitProphet8 @MaxBlumenthal Sorry to be pedantic, but living in fear is living.
Also, I’m not living in fear. Im vaccinated - it’s not impossible for me to still contract #COVID19 of course, but I’m much less likely to need hospitalisation now. Good luck mate. Hope it turns out OK for you.",1466925806005878784,2021-12-04 00:22:20,3830,sorri pedant live fear live also live fear im vaccin imposs still contract covid cours much less like need hospitalis good luck mate hope turn ok,0
40,"4, 12. 2021 No comparing. #Corona #COVID19 - Vaccines. #CovidVaccine today, is a genetic soup but vaccines for #YersiniaPestis Spanish flu etc. NOT genetic. Big difference between it. The #coronavirus is dangerous but #Covid_19 vaccine is a underdeveloped stuff, no remedies. Sad.",1466925691526598656,2021-12-04 00:21:53,1206,compar corona covid vaccin covidvaccin today genet soup vaccin yersiniapesti spanish flu etc genet big differ coronaviru danger covid _ vaccin underdevelop stuff remedi sad,0
41,#sellingcontent Cashapp only Add my snap (dazzxoo) to buy my content I only use cashapp !!!💋#sellingcontent #buyingconent #SellingContent #buyingcontent   #COVID19,1466925538333937670,2021-12-04 00:21:17,23,sellingcont cashapp add snap dazzxoo buy content use cashapp sellingcont buyingcon sellingcont buyingcont covid,0
42,"Contact tracing is underway in Georgia. A resident tested positive for the Omicron variant of #COVID19 after returning from travel to South Africa. The fully vaccinated woman spent two days back in GA before traveling on to New Jersey, where she was treated for moderate symptoms.",1466925453797642243,2021-12-04 00:20:56,14239,contact trace underway georgia resid test posit omicron variant covid return travel south africa fulli vaccin woman spent two day back ga travel new jersey treat moder symptom,0
43,"I got the booster and if they tell me to get another I will be first in line. Who is with me?

#COVID19 #Booster #vaccinated",1466925425477652483,2021-12-04 00:20:50,3085,got booster tell get anoth first line covid booster vaccin,0
44,"4.6 Lakh deaths due to #COVID19 - in india alone ; 
You decide how was the govts response !??

#Omicron",1466925408306171905,2021-12-04 00:20:46,1194,lakh death due covid india alon decid govt respons omicron,0
45,@MarshaBlackburn @marcorubio @nytimes TRUMP? An antivaxxer &amp; hard core trumper that died from Covid today. She was 56 &amp; a caregiver. It could have been avoided if she hadn’t been fed lies by the right. I’m betting this will still not convince her family to get vaccinated. It’s really sad. #COVID19,1466925280698634247,2021-12-04 00:20:15,278,trump antivaxx amp hard core trumper die covid today amp caregiv could avoid fed lie right bet still convinc famili get vaccin realli sad covid,0
46,"#COVID19 Update: 85.1% of eligible people 5 &amp; older in BC have received their first dose of COVID-19 vaccine, and 81.8% have received their second dose.

There is 1 new health-care facility outbreak at Ponderosa Lodge (IH), for a total of 5 facilities with ongoing outbreaks. 1/2",1466925178944954368,2021-12-04 00:19:51,43160,covid updat elig peopl amp older bc receiv first dose covid vaccin receiv second dose new health care facil outbreak ponderosa lodg ih total facil ongo outbreak,0
47,Vaccine boosted 💉🚀😷#CovidVaccine #COVID19,1466925133575200772,2021-12-04 00:19:40,4204,vaccin boost covidvaccin covid,0
48,"#Corona Info for #USA:
New Cases: 135378
Today Recovery: 60497
Today Deaths: 1249
Total Active Cases: 9607611
Total Cases: 49865744
Total Recovery: 39450143
Total Deaths: 807990
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram.",1466925050590863362,2021-12-04 00:19:20,289,corona info usa new case today recoveri today death total activ case total case total recoveri total death coronaviru covid covid _ sarscov staysaf sourc coronatrackernepal_bot telegram,0
49,New South Wales is infecting other states again. #COVID19,1466924997046198274,2021-12-04 00:19:08,2096,new south wale infect state covid,0
50,"@Shelby_Kramp .@Shelby_Kramp Awesome first speech. 

Someone needs to stand up for #seniors, common sense &amp; #farmersday in the sun is needed for a healthy #Canada

#cdnpoli #Toronto #bcpoli #quebec #abpoli #TOpoli #Onpoli @erinotoole @ndp @cpc_hq #Alberta  #ONT #cpc #ndp #COVID19 #CovidVaccine",1466924864267333637,2021-12-04 00:18:36,335,awesom first speech someon need stand senior common sens amp farmersday sun need healthi canada cdnpoli toronto bcpoli quebec abpoli topoli onpoli alberta ont cpc ndp covid covidvaccin,0
51,"If vaccination status is not submitted through ArriveCAN upon arriving at a POE, only non-essential travelers are currently being denied entry. However, that is expected to change on January 15, 2022. #COVID19 #WAtrucking",1466924858554470402,2021-12-04 00:18:35,369,vaccin statu submit arrivecan upon arriv poe non essenti travel current deni entri howev expect chang januari covid watruck,0
52,For many maybe that thanksgiving dinner get together was not a good idea. Covid numbers rising Deaths rising. The Stupid rose before all of that. #COVID19,1466924724144025601,2021-12-04 00:18:03,451,mani mayb thanksgiv dinner get togeth good idea covid number rise death rise stupid rose covid,0
53,"SA Police Commissioner Grant Stevens confirms Prof Nicola Spurrier’s health advice was to close borders. Says today’s meeting was “intense”. Borders with Vic, ACT and NSW NOT closing. Extra testing requirements for arrivals. @abcnews @abcadelaide #SouthAustralia #COVID19",1466924253815525377,2021-12-04 00:16:10,3230,sa polic commission grant steven confirm prof nicola spurrier health advic close border say today meet intens border vic act nsw close extra test requir arriv southaustralia covid,0
54,"@AK4WA He's saying this while a court rules that the #COVID19 vaccine does NOT prevent the spread or infection of COVID19 and therefore has no logical application as a workplace mandate to ""protect employees or customers"":",1466924039646052355,2021-12-04 00:15:19,130,say court rule covid vaccin prevent spread infect covid therefor logic applic workplac mandat protect employe custom,0
55,"Do you know a healthcare worker in your community? Reach out and thank them for their service and sacrifice. 👩‍⚕️

#COVID19 #SARSCoV2 #nCoV19 #HcoV19",1466923823228329989,2021-12-04 00:14:28,349,know healthcar worker commun reach thank servic sacrific covid sarscov ncov hcov,0
56,"933 new cases and 49 new deaths in Egypt 

[1:13 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic",1466923597386158084,2021-12-04 00:13:34,1256,new case new death egypt gmt coronaviru coronavirusupd covid coronaviruspandem,0
57,Comm. Grant Stevens confirms Nicola Spurrier wanted the border shut. #saparli #covid19,1466923522362511362,2021-12-04 00:13:16,10734,comm grant steven confirm nicola spurrier want border shut saparli covid,0
58,@LeftistNeil @DaystarJoni still supports sheep dewormer over #CovidVaccine #COVID19 #vaccination which is Truly sad. They also admitted they have enough$$$ to last years! Tax the Churches &amp; Save Your $$$!,1466923365315203076,2021-12-04 00:12:39,1007,still support sheep deworm covidvaccin covid vaccin truli sad also admit enough last year tax church amp save,0
59,"If on average 40K are being tested positive for the Rona every day. That means about 30 million people in the UK have had it. Nearly half the population.

It isn't as deadly as you think. #COVID19",1466923281412497412,2021-12-04 00:12:19,405,averag k test posit rona everi day mean million peopl uk nearli half popul deadli think covid,0
60,"Washington State COVID-19 numbers for Thursday, December 02, 2021: 3404 new positive case(s) and 44 new death(s). #coronavirus #covid19",1466923219483611138,2021-12-04 00:12:04,207,washington state covid number thursday decemb new posit case new death coronaviru covid,0
61,"@ABC Oh yeah … and the @GOP have been so remarkably supportive of arresting the expansion of #COVID19 infections and deaths. 

It is disgusting the roadblocks red state governors have thrown up to block common sense #CovidVaccine programs. @CDCgov @POTUS @WHCOS",1466922811402989568,2021-12-04 00:10:27,223,oh yeah remark support arrest expans covid infect death disgust roadblock red state governor thrown block common sens covidvaccin program,0
62,Omicron is reportedly spreading 2X Delta and those with natural immunity and no vaxx are susceptible to re-infection. #COVID19 #Omicron #covidvariant #Covid,1466922798039941123,2021-12-04 00:10:23,534,omicron reportedli spread x delta natur immun vaxx suscept infect covid omicron covidvari covid,0
63,@joevaldman @JackPosobiec @AOC You don't care how many die from #COVID19 or how it affected the economy. Why not? Why is fantasy fears of crime more important to you?,1466922746613579778,2021-12-04 00:10:11,445,care mani die covid affect economi fantasi fear crime import,0
64,"“only a limited number of confirmed coronavirus cases in the country are being sequenced, Gottberg said, out of 249 cases sequenced in November, 183 were confirmed to be the #Omicron variant -- equivalent to 70-75% of cases” #SouthAfrica #COVID19",1466922684541915137,2021-12-04 00:09:56,4196,limit number confirm coronaviru case countri sequenc gottberg said case sequenc novemb confirm omicron variant equival case southafrica covid,0
65,#Omicron #COVID19 looking forward to Dr. Fauci talking about the Thanos variant found in &lt;enter any 3rd world country here&gt; by late 2022,1466922677902319616,2021-12-04 00:09:55,13,omicron covid look forward dr fauci talk thano variant found lt enter rd world countri gt late,0
66,"“Vaccinated” people are so angry because they’ve been fooled. 

And I am here for it! 😂🍿

Sometimes you just have to laugh at how ignorant these people are. 

#CovidVaccine #COVID19 #Omicron #EnoughIsEnough #EnjoyYourBoosters #cdnpoli",1466922417792585728,2021-12-04 00:08:53,59,vaccin peopl angri fool sometim laugh ignor peopl covidvaccin covid omicron enoughisenough enjoyyourboost cdnpoli,0
67,"If I supposedly succumb to the plague in an ICU anytime in the near future it means I was MURDERED. Period. 
#GenocideGames 
#KillerMDs
#ICUMurders 
#DeathProtocal
#COVID19",1466922362184642566,2021-12-04 00:08:39,50,supposedli succumb plagu icu anytim near futur mean murder period genocidegam killermd icumurd deathprotoc covid,0
68,"287 new cases and 1 new death in the State of Palestine 

[1:08 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic",1466922226251452426,2021-12-04 00:08:07,1256,new case new death state palestin gmt coronaviru coronavirusupd covid coronaviruspandem,0
69,@JLBKL @BareReality @jamesmfahy And if there is no respect then there is prejudice and with that apathy and with that segregation and with that hate crime and with that desecration of morality and everything else on the way to the end of the human race as we knew it. #COVID19 #FreedomOfSpeech,1466922038367604739,2021-12-04 00:07:22,638,respect prejudic apathi segreg hate crime desecr moral everyth els way end human race knew covid freedomofspeech,0
70,@msnbc 3 cases of Omicron variant in Maryland according to email from Gov. Hogan to residents. #Omicron #COVID19,1466921976388280320,2021-12-04 00:07:07,2012,case omicron variant maryland accord email gov hogan resid omicron covid,0
71,Recently received a third dose of the Moderna #COVID19 vaccine so as to better protect myself against the virus this #holiday season.,1466921563047948288,2021-12-04 00:05:29,89,recent receiv third dose moderna covid vaccin better protect viru holiday season,0
72,Public are growing tired of NPHET. You can sense it. They’ll be disbanding soon. They’re modelling and recommendations do not add up at all. #NPHET #COVID19,1466921551002050572,2021-12-04 00:05:26,875,public grow tire nphet sens disband soon model recommend add nphet covid,0
73,"@VanIslandHealth  What the heck is going on here on Vancouver Island?! 96 new cases today, 88 yesterday! Between 77 and 94% of people have had 2 doses and 6-15% (depending upon area) have had boosters. So why so many cases? #Covid19",1466921497990029314,2021-12-04 00:05:13,356,heck go vancouv island new case today yesterday peopl dose depend upon area booster mani case covid,0
74,"In the last 24 hours:

Montana:
311 new cases
0 deaths
192,236 total cases
2,739 total deaths
3,530 active
185,967 recovered

USA:
132,792 new cases
1,185 deaths
49,863,158 total cases
807,926 total deaths
9,605,729 active
39,449,503 recovered

#Montana #COVID19 #Python",1466921469343006721,2021-12-04 00:05:07,169,last hour montana new case death total case total death activ recoveredusa new case death total case total death activ recov montana covid python,0
75,"In Missoula County, in the last 24 hours:

10 new cases
1 deaths
17473 total cases
188 total deaths

#Missoula #Montana #COVID19 #Python",1466921464607621123,2021-12-04 00:05:05,23,missoula counti last hour new case death total case total death missoula montana covid python,0
76,"Hey @Meta @facebookapp ya think maybe it’s time to get rid of the 😆 emoji on Facebook?! Getting really tired of the fucking laughter at articles about children getting Covid and people dying. 

#antivaxxers 
#Unvaccinated 
#COVID19",1466921361587195905,2021-12-04 00:04:41,428,hey ya think mayb time get rid emoji facebook get realli tire fuck laughter articl children get covid peopl die antivaxx unvaccin covid,0
77,@TcameronTodd @EruditeElf Not just that - I gather the antibody response is not as good after #COVID19 infection as it is after vaccination - although that seems a bit counterintuitive,1466921319262396424,2021-12-04 00:04:31,1512,gather antibodi respons good covid infect vaccin although seem bit counterintuit,0
78,"@BareReality It isn’t legal. Mandates are not laws. Our gov. has divided the country. The hatred will cost them the vote forever. “If you treat your populations like an occupied people, they will come to treat you like an occupying power.” #CovidVaccine #COVID19",1466921252594016257,2021-12-04 00:04:15,638,legal mandat law gov divid countri hatr cost vote forev treat popul like occupi peopl come treat like occupi power covidvaccin covid,0
79,.@APAPsychiatric Telling somebody to get vaccinated for #covid19 dozens of times a day while playing pictures of people getting jabbed with needles should be in the DSM-6. #dsm6suggestions,1466921117067534336,2021-12-04 00:03:43,29452,tell somebodi get vaccin covid dozen time day play pictur peopl get jab needl dsm dsm suggest,0
80,"@MaryFernando_ Clip of @celliottability on CTV To news strongly indicates that @fordnation and #Ontario's current government are, again, waiting until the ICUs fill up before they will do anything to protect us from #COVID19 and it's latest #VariantOmicron.
#FordfailedOntario #onpoli #onhealth",1466920886674595844,2021-12-04 00:02:48,234,clip ctv news strongli indic ontario current govern wait icu fill anyth protect us covid latest variantomicron fordfailedontario onpoli onhealth,0
81,"61 new cases and 1 new death in Paraguay 

[1:02 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic",1466920855611531264,2021-12-04 00:02:40,1256,new case new death paraguay gmt coronaviru coronavirusupd covid coronaviruspandem,0
82,"@Haggis_UK I find wearing a mask uncomfortable.
I have never stopped wearing a mask in shops and on public transport since this all began.
I only spend time indoors with people whose #Covid19 status I know.
I want us all to live.",1466920760900046859,2021-12-04 00:02:18,1134,find wear mask uncomfort never stop wear mask shop public transport sinc began spend time indoor peopl whose covid statu know want us live,0
83,"@BareReality Good luck getting them in. Every time in history that governments of the world tried to move against the people, the people moved against its government. As in deposed. #CovidVaccine #COVID19",1466920560319991814,2021-12-04 00:01:30,638,good luck get everi time histori govern world tri move peopl peopl move govern depos covidvaccin covid,0
84,4 cases of Covid in my office this week.The first since we came back after shutdown in May. Vaccine efficacies are waining. Get #Boosted! #COVID19,1466920408586805250,2021-12-04 00:00:54,22123,case covid offic week first sinc came back shutdown may vaccin efficaci wain get boost covid,0
85,"One of my closest friends just lost their mother and father from #COVID19.
My heart is breaking for him right now.",1466920402802954244,2021-12-04 00:00:52,324,one closest friend lost mother father covid heart break right,0
86,"BREAKING: The first case of #Omicron variant of #COVID19 has been identified in NJ, @GovMurphy announces.

The female traveler, a fully vaccinated adult from Georgia, tested positive Nov. 28 and received care in a North Jersey ER. She's now in isolation. @News12NJ",1466920255675154437,2021-12-04 00:00:17,51758,break first case omicron variant covid identifi nj announc femal travel fulli vaccin adult georgia test posit nov receiv care north jersey er isol,0
87,"Here's today's #covid19 report for B.C.: 
New cases: 405; total: 219,584 
110 of those are in Fraser Health
Active: 3,071; No longer infectious: 214,047
Hospitalized: 276; ICU: 95 
New deaths: six; total: 2,351.",1466920251782688769,2021-12-04 00:00:16,4351,today covid report b c new case total fraser healthact longer infecti hospit icu new death six total,0
88,@DrTomFrieden #alcoholawareness @WHO for #COVID19 and your health-Stay #sober-Don't drink Alcohol!,1466920073377955840,2021-12-03 23:59:34,9817,alcoholawar covid health stay sober drink alcohol,0
89,How we all feeling #SouthAustralia? Who else has had Vic and NSW loved ones on the phone since last night panicking about possible border closures? #COVID19,1466919885657632770,2021-12-03 23:58:49,3230,feel southaustralia els vic nsw love one phone sinc last night panick possibl border closur covid,0
90,"“If you treat your populations like an occupied people, they will come to treat you like an occupying power.” #CovidVaccine #FreedomRally #NoVaccinePassports #COVID19",1466919773242015744,2021-12-03 23:58:22,638,treat popul like occupi peopl come treat like occupi power covidvaccin freedomr novaccinepassport covid,0
91,"@disclosetv At least on that Xeljanz ads, Pfizer has to list the 50 potential deadly side affects, unlike the toxic #Covid19 jabs.",1466919593889435650,2021-12-03 23:57:39,66395,least xeljanz ad pfizer list potenti deadli side affect unlik toxic covid jab,0
